id_transformador,data_amostragem,condicao_operacao,gas,valor_ppm
TR28,2022-03-11,Normal,Dióxido de Carbono,527.0
TR28,2022-08-29,Normal,Dióxido de Carbono,885.0
TR28,2023-03-03,Normal,Dióxido de Carbono,404.0
TR28,2023-08-18,Normal,Dióxido de Carbono,410.0
TR28,2024-03-19,Normal,Dióxido de Carbono,712.0
TR28,2024-10-29,Normal,Dióxido de Carbono,629.0
TR28,2025-08-25,Normal,Dióxido de Carbono,842.0
TR28,2026-04-09,Atenção,Dióxido de Carbono,2697.0
TR28,2020-06-24,Normal,Etano,0.0
TR28,2021-01-22,Normal,Etano,0.0
TR28,2021-09-15,Normal,Etano,1.0
TR28,2022-03-11,Normal,Etano,1.0
TR28,2022-08-29,Normal,Etano,1.0
TR28,2023-03-03,Normal,Etano,0.0
TR28,2023-08-18,Normal,Etano,0.0
TR28,2024-03-19,Normal,Etano,0.0
TR28,2024-10-29,Normal,Etano,1.0
TR28,2025-08-25,Normal,Etano,0.0
TR28,2026-04-09,Atenção,Etano,4.0
TR28,2020-06-24,Normal,Etileno,0.0
TR28,2021-01-22,Normal,Etileno,0.0
TR28,2021-09-15,Normal,Etileno,0.0
TR28,2022-03-11,Normal,Etileno,0.0
TR28,2022-08-29,Normal,Etileno,0.0
TR28,2023-03-03,Normal,Etileno,0.0
TR28,2023-08-18,Normal,Etileno,0.0
TR28,2024-03-19,Normal,Etileno,0.0
TR28,2024-10-29,Normal,Etileno,0.0
TR28,2025-08-25,Normal,Etileno,0.0
TR28,2026-04-09,Atenção,Etileno,19.0
TR28,2020-06-24,Normal,Hidrogênio,15.0
TR28,2021-01-22,Normal,Hidrogênio,8.0
TR28,2021-09-15,Normal,Hidrogênio,8.0
TR28,2022-03-11,Normal,Hidrogênio,12.0
TR28,2022-08-29,Normal,Hidrogênio,20.0
TR28,2023-03-03,Normal,Hidrogênio,15.0
TR28,2023-08-18,Normal,Hidrogênio,5.0
TR28,2024-03-19,Normal,Hidrogênio,11.0
TR28,2024-10-29,Normal,Hidrogênio,12.0
TR28,2025-08-25,Normal,Hidrogênio,12.0
TR28,2026-04-09,Atenção,Hidrogênio,13.0
TR28,2020-06-24,Normal,Metano,4.0
TR28,2021-01-22,Normal,Metano,3.0
TR28,2021-09-15,Normal,Metano,5.0
TR28,2022-03-11,Normal,Metano,5.0
TR28,2022-08-29,Normal,Metano,8.0
TR28,2023-03-03,Normal,Metano,4.0
TR28,2023-08-18,Normal,Metano,4.0
TR28,2024-03-19,Normal,Metano,3.0
TR28,2024-10-29,Normal,Metano,5.0
TR28,2025-08-25,Normal,Metano,5.0
TR28,2026-04-09,Atenção,Metano,17.0
TR28,2020-06-24,Normal,Monóxido de Carbono,80.0
TR28,2021-01-22,Normal,Monóxido de Carbono,95.0
TR28,2021-09-15,Normal,Monóxido de Carbono,84.0
TR28,2022-03-11,Normal,Monóxido de Carbono,127.0
TR28,2022-08-29,Normal,Monóxido de Carbono,184.0
TR28,2023-03-03,Normal,Monóxido de Carbono,86.0
TR28,2023-08-18,Normal,Monóxido de Carbono,102.0
TR28,2024-03-19,Normal,Monóxido de Carbono,161.0
TR28,2024-10-29,Normal,Monóxido de Carbono,87.0
TR28,2025-08-25,Normal,Monóxido de Carbono,112.0
TR28,2026-04-09,Atenção,Monóxido de Carbono,987.0
TR29,2022-04-02,Normal,Acetileno,0.0
TR29,2022-07-01,Normal,Acetileno,1.0
TR29,2022-07-29,Normal,Acetileno,0.0
TR29,2022-09-25,Normal,Acetileno,0.0
TR29,2022-12-05,Normal,Acetileno,0.0
TR29,2023-03-24,Normal,Acetileno,0.0
TR29,2023-08-23,Normal,Acetileno,0.0
TR29,2023-12-21,Normal,Acetileno,0.0
TR29,2024-04-22,Normal,Acetileno,0.5
TR29,2024-08-29,Normal,Acetileno,0.4
TR29,2025-02-20,Normal,Acetileno,0.0
TR29,2025-07-24,Normal,Acetileno,0.4
TR29,2026-01-07,Normal,Acetileno,0.6
TR29,2026-04-10,Atenção,Acetileno,1.0
TR29,2022-04-02,Normal,Dióxido de Carbono,3949.0
TR29,2022-07-01,Normal,Dióxido de Carbono,6820.0
TR29,2022-07-29,Normal,Dióxido de Carbono,4597.0
TR29,2022-09-25,Normal,Dióxido de Carbono,1871.0
